#test,time,distance,obstacle
1,114.57936596870422,32,1
1,88.86210203170776,32,1
1,82.67974615097046,30,0
1,89.87304592132568,32,1
1,116.46632599830627,30,0
1,91.70453190803528,33,1
1,81.9584321975708,30,0
1,96.17939805984497,32,1
1,81.76625609397888,30,0
1,84.65184092521667,32,1
1,81.60219812393188,30,0
1,97.47040295600891,35,2
1,83.37662887573242,30,0
1,84.54292297363281,32,1
1,83.96053314208984,31,0
1,102.73032689094543,32,1
1,93.88053679466248,32,1
1,83.32820296287537,32,1
1,83.79404497146606,31,0
1,89.08133101463318,32,1
1,82.9358549118042,30,0
1,90.97630405426025,32,1
1,113.51073503494263,30,0
1,106.40533804893494,33,1
1,82.81663107872009,30,0
1,85.58205199241638,33,1
1,85.47979688644409,30,0
1,84.93038606643677,32,1
1,80.8790922164917,30,0
1,89.46676087379456,32,1
1,81.4311420917511,30,0
1,95.4620909690857,34,2
1,80.06908893585205,30,0
1,84.6422770023346,32,1
1,83.2823498249054,31,0
1,87.28805088996887,32,1
1,86.81464505195618,30,0
1,84.87918019294739,32,1
1,86.99593997001648,32,1
1,90.21423602104187,32,1
1,91.0043580532074,30,0
1,83.3476037979126,32,1
1,84.38067698478699,30,0
1,84.89557385444641,33,1
1,81.87385892868042,30,0
1,88.74856305122375,32,1
1,81.82327604293823,30,0
1,89.91695499420166,33,1
1,82.87084984779358,30,0
1,90.15204787254333,32,1
2,122.48073506355286,49,1
2,114.80253076553345,49,1
2,117.0901620388031,48,0
2,118.09659600257874,49,1
2,110.40726113319397,48,0
2,131.94244503974915,53,5
2,109.16162705421448,48,0
2,114.10421085357666,50,2
2,111.99746894836426,48,0
2,112.85455918312073,49,1
2,108.7595751285553,48,0
2,113.86208319664001,49,1
2,110.41995811462402,48,0
2,118.48832702636719,49,1
2,114.39397096633911,48,0
2,112.58311605453491,50,2
2,118.81640005111694,49,1
2,114.23359203338623,49,1
2,111.95570993423462,48,0
2,124.24416494369507,50,2
